Year,Make,Model,Trim,Transmission,Displacement,Configuration,Aspiration,Weight,Power,W/P Ratio,DriveTrain,Price,Lap Time
1991,BMW,Nazca,C2,Manual,5.6,V12,NA,1057,375,2.82,RWD,98600,02:02.4
1995,BMW,8 Series (E31),850 CSi,Manual,5.6,V12,NA,1864,375,4.97,RWD,77500,02:19.4
1990,BMW,3 Series (E30),M3 Evolution,Manual,2.5,I4,NA,1200,235,5.11,RWD,28000,02:22.8
1988,BMW,5 Series (E28),M5,Manual,3.5,I6,NA,1429,287,4.98,RWD,38600,02:25.6
1988,BMW,6 Series (E24),M 635 CSi,Manual,3.5,I6,NA,1501,282,5.32,RWD,38100,02:26.0
1981,BMW,M1 (E26),M1,Manual,3.5,I6,NA,1300,277,4.69,RWD,132000,02:26.9
1995,BMW,5 Series (E34),M5,Manual,3.8,I6,NA,1790,335,5.34,RWD,33600,02:28.0
1987,BMW,6 Series (E24),M6,Manual,3.5,I6,NA,1618,256,6.32,RWD,46100,02:28.7
1988,BMW,6 Series (E24),635 CSi,Manual,3.4,I6,NA,1460,217,6.73,RWD,31200,02:29.5
1989,BMW,3 Series (E30),M3 Cabrio,Manual,2.3,I4,NA,1360,197,6.9,RWD,26300,02:30.1
1991,BMW,Z1,Z1,Manual,2.5,I6,NA,1251,169,7.4,RWD,24700,02:30.4
1987,BMW,7 Series (E23),745i (SA),Manual,3.5,I6,NA,1690,282,5.99,RWD,42300,02:30.7
1980,BMW,5 Series (E12),M 535i,Manual,3.4,I6,NA,1430,215,6.65,RWD,34400,02:30.8
1975,BMW,E9,3.0 CSL,Manual,3.2,I6,NA,1250,203,6.16,RWD,28800,02:31.3
1985,BMW,3 Series (E30),323i,Manual,2.3,I6,NA,1090,148,7.36,RWD,21500,02:32.6
1994,BMW,7 Series (E32),750i,Adv. Auto,5,V12,NA,1801,296,6.08,RWD,27300,02:32.6
1991,BMW,3 Series (E30),325i,Manual,2.5,I6,NA,1275,169,7.54,RWD,27300,02:33.1
1972,BMW,E9,3.0 CSL,Manual,3,I6,NA,1165,198,5.88,RWD,22100,02:33.2
1987,BMW,6 Series (E24),635 CSi,Manual,3.4,I6,NA,1430,215,6.65,RWD,34300,02:33.9
1986,BMW,7 Series (E23),745i,Adv. Auto,3.4,I6,Turbo,1590,248,6.41,RWD,37000,02:34.4
1975,BMW,02 Series,2002 Turbo,Manual,2,I4,Turbo,1080,168,6.43,RWD,21700,02:36.0
1991,BMW,3 Series (E30),318is,Manual,1.8,I4,NA,1180,134,8.81,RWD,24100,02:36.3
1986,BMW,7 Series (E23),732i,Manual,3.2,I6,NA,1501,194,7.74,RWD,28100,02:36.4
